id	sample1	sample2	sample3	sample4	sample5	sample6
gene792	33.37	47.96	51.23	200.07	247.34	252.17
gene793	3.18	2.14	2.29	6.64	5.07	7.54
gene794	102.42	155.5	155.37	78.83	87.73	77.46
gene795	105.3	121.2	153.7	105.54	103.25	89.68
gene796	9.49	14.03	14.03	23.48	21.52	20.34
gene797	49.52	73.43	66.65	41.42	32.52	31.89
gene798	35.6	48.26	61.27	46.44	55.85	50.16
gene799	0.0	0.0	7.57	7.11	12.19	11.02
gene800	14.57	14.62	19.06	24.3	21.8	21.64
gene801	12.02	13.85	21.25	20.52	24.83	30.49
gene802	22.22	26.28	28.95	38.53	53.3	45.07
gene803	2.91	1.73	5.69	4.97	1.16	1.9
gene804	6.69	10.13	16.51	8.57	10.63	6.25
gene805	1590.36	1721.24	1788.88	2548.65	2413.99	2513.5
gene806	749.65	1489.22	1131.93	2030.67	3373.47	2387.89
gene807	50.22	63.67	76.53	78.04	86.78	71.5
gene808	12.13	22.67	23.07	26.85	27.81	33.08
gene809	37.67	72.78	86.56	81.54	60.49	73.65
gene810	15.43	12.61	14.62	12.38	11.31	8.23
gene811	38.49	64.26	54.94	78.45	77.48	68.64
gene812	172.17	275.74	328.44	158.81	205.84	162.16
gene813	120.03	171.79	181.66	100.02	163.33	123.29
gene814	3.47	5.51	4.83	57.86	32.78	61.66
gene815	0.72	1.48	1.32	0.24	0.47	1.62
gene816	98.95	130.97	140.02	79.45	82.12	84.15
gene817	26.93	30.0	25.96	36.17	38.66	34.37
gene818	1.75	4.81	3.06	5.58	6.92	6.28
gene819	42.94	58.96	62.87	43.01	61.71	45.29
